seed,num_agents,max_cities,width,height,flowtime_pp,flowtime_cbs,flowtime_trained_pp
5,7,2,30,30,90,88,103
6,7,2,30,30,134,134,134
10,7,2,30,30,125,125,125
0,7,2,30,30,107,95,107
8,7,2,30,30,179,179,179
9,7,2,30,30,115,115,115
11,7,2,30,30,137,137,137
3,7,2,30,30,149,146,149
4,7,2,30,30,189,189,189
12,7,2,30,30,92,92,92
17,7,2,30,30,170,163,170
15,7,2,30,30,143,139,154
20,7,2,30,30,129,129,129
19,7,2,30,30,175,159,161
23,7,2,30,30,140,140,140
2,7,2,30,30,159,144,145
25,7,2,30,30,120,111,126
24,7,2,30,30,129,123,129
27,7,2,30,30,210,210,210
1,7,2,30,30,192,180,185
16,7,2,30,30,,,
18,7,2,30,30,,,
22,7,2,30,30,,,
32,7,2,30,30,109,109,109
33,7,2,30,30,181,181,181
34,7,2,30,30,139,139,139
21,7,2,30,30,,,
13,7,2,30,30,,,
35,7,2,30,30,195,195,195
37,7,2,30,30,110,110,110
36,7,2,30,30,143,134,134
38,7,2,30,30,128,128,128
39,7,2,30,30,160,160,160
40,7,2,30,30,133,133,133
42,7,2,30,30,142,140,140
41,7,2,30,30,111,111,111
30,7,2,30,30,,,
45,7,2,30,30,147,123,123
47,7,2,30,30,139,139,139
26,7,2,30,30,,,
7,7,2,30,30,,,
14,7,2,30,30,,,
29,7,2,30,30,,,
28,7,2,30,30,,,
31,7,2,30,30,,,
43,7,2,30,30,,,
44,7,2,30,30,,,
46,7,2,30,30,,,
49,7,2,30,30,,,
48,7,2,30,30,,,
